source_id,target_id,trans_amount,source_type,target_type,description,label
201000000004506908,201100000005522053,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
202000000131118025,202000000119431421,600000,customer,customer,Customer Withdrawal,nonfraud
201000000004945237,201100000005522170,26999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002034606,201100000005522185,25500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002948796,201000000001745163,10175,merchant,merchant,Business to Business Transfer,nonfraud
201000000002803392,201100000005522173,5600,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201100000005522205,18250,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002069981,201100000005522140,30250,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000126258724,202000000125824529,100000,customer,customer,P2P Transfer,nonfraud
201000000002003474,201000000001743227,1300,merchant,merchant,Business to Business Transfer,nonfraud
201000000001096013,202000000127596897,20000,merchant,customer,Cash In,nonfraud
201000000005549588,201100000005522127,9900,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002822465,201100000005522058,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000004424047,201100000005522173,15750,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001957494,201100000005522095,10500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002455044,201100000005522192,3050,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002715059,201000000001227614,100000,merchant,merchant,B2b Transfer Telco,nonfraud
201000000001783952,201000000001742245,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000001959878,201000000001742225,2099,merchant,merchant,Business to Business Transfer,nonfraud
201000000004825881,201100000005522213,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000002864997,201000000001742215,5400,merchant,merchant,Business to Business Transfer,nonfraud
201000000005543643,201100000005522169,100999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001862307,201000000002353024,20499,merchant,merchant,Business to Business Transfer,nonfraud
201000000003002703,201100000005522097,10799,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000001866023,201000000002350876,39800,merchant,merchant,Business to Business Transfer,nonfraud
201000000002078670,201100000005522157,49750,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004506908,201100000005522053,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000001979114,201000000001742302,79800,merchant,merchant,Business to Business Transfer,nonfraud
202000000086249039,201000000003941689,31500,customer,merchant,Buy Goods,nonfraud
201000000001976204,201000000001745129,5700,merchant,merchant,Business to Business Transfer,nonfraud
201000000005697176,201100000005522055,11000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000078021640,201000000001601198,20000,customer,merchant,Customer Buy Goods,nonfraud
201000000003353318,201000000001745192,7800,merchant,merchant,Business to Business Transfer,nonfraud
201000000001744265,201000000003201039,500000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002455044,201100000005522097,20800,merchant,merchant,Doa Digipos B2b Transfer,nonfraud
201100000009509246,201100000005522053,28030,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004586910,201000000001227614,50000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001745554,201000000001744304,19500,merchant,merchant,Business to Business Transfer,nonfraud
201000000005537001,201000000001743308,10600,merchant,merchant,Business to Business Transfer,nonfraud
201000000005675940,201100000005396944,15500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003317312,201000000001745124,33000,merchant,merchant,Business to Business Transfer,nonfraud
201000000005710248,201100000005522147,14400,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000053628208,201000000003940853,51000,customer,merchant,Buy Goods,nonfraud
202000000040804203,201000000001653405,37200,customer,merchant,Customer Buy Goods,nonfraud
201000000002034092,201100000005522125,28000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001950447,201000000001742313,36800,merchant,merchant,Business to Business Transfer,nonfraud
202000000128539847,201000000001226834,6200,customer,merchant,Buy Goods,nonfraud
201000000002048167,201000000001744265,24200,merchant,merchant,Business to Business Transfer,nonfraud
201000000004895983,201000000001742303,81000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001988120,201000000001742243,21750,merchant,merchant,Business to Business Transfer,nonfraud
201000000001896745,201000000001742243,11000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001847392,201000000001745124,9900,merchant,merchant,Business to Business Transfer,nonfraud
201100000008095979,201100000005522196,52850,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201000000001743313,5145,merchant,merchant,Business to Business Transfer,nonfraud
201000000005632622,201100000005522150,2021,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201100000005522205,8000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003191878,201000000001742310,16300,merchant,merchant,Business to Business Transfer,nonfraud
201000000001870324,201100000005522108,100000,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001978108,201000000001742207,5699,merchant,merchant,Business to Business Transfer,nonfraud
201000000002505091,201100000005522099,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000001786450,201100000005522137,81000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002455044,201100000005522116,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201100000007505244,201100000005522152,32803,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002468718,201000000001742215,10300,merchant,merchant,Business to Business Transfer,nonfraud
201100000007505244,201100000005522206,14799,merchant,merchant,Doa Digipos B2b Transfer,nonfraud
201000000002038456,201000000001745192,94499,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000005490310,201100000005522051,4700,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001787240,201000000001743225,15800,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201000000005353559,4845,merchant,merchant,Business to Business Transfer,nonfraud
201000000004111375,201000000002270458,10180,merchant,merchant,General B2b Transfer,nonfraud
201000000002881498,201000000001745129,510,merchant,merchant,Business to Business Transfer,nonfraud
201000000002372065,201000000001743270,10799,merchant,merchant,Business to Business Transfer,nonfraud
201000000001979114,201000000001744141,50000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002468256,201000000001744322,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000002048750,201000000001742303,21500,merchant,merchant,Business to Business Transfer,nonfraud
201000000004111375,201000000002270458,49555,merchant,merchant,Business to Business Transfer,nonfraud
201000000002034606,201000000001745185,50000,merchant,merchant,Business to Business Transfer,nonfraud
202000000068788061,201000000001281820,100000,customer,merchant,Customer Withdrawal,nonfraud
202000000091419148,201000000005687844,18300,customer,merchant,Customer Reservation Telco For Other,nonfraud
201000000003353318,201100000005522205,18500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002307038,201000000001743219,5500,merchant,merchant,Business to Business Transfer,nonfraud
201000000002331630,201000000001745183,74620,merchant,merchant,Business to Business Transfer,nonfraud
201000000001979114,201000000001744141,5500,merchant,merchant,Business to Business Transfer,nonfraud
201100000005950738,201100000005522225,20730,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004721417,201000000001743337,86320,merchant,merchant,Business to Business Transfer,nonfraud
201100000007848222,201000000001227614,50000,merchant,merchant,B2b Transfer Telco,nonfraud
201000000003775054,201100000005522128,25200,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001758723,201100000005522155,15198,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000005502694,201100000005522079,45600,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002883715,201000000001745193,20800,merchant,merchant,Business to Business Transfer,nonfraud
201000000005719605,201100000005522080,11600,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000007755350,201100000005522098,55300,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000001975943,201100000005522161,200,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001978108,201000000001742207,5699,merchant,merchant,Business to Business Transfer,nonfraud
201000000002006899,201000000001742243,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000005570841,201100000005522057,20000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000005684085,201100000005522074,19900,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002008764,201000000002353025,1500,merchant,merchant,Business to Business Transfer,nonfraud
201000000001954479,201000000001743313,81000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002024259,201000000001743310,62150,merchant,merchant,Business to Business Transfer,nonfraud
201000000003799523,201100000005522059,10700,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202100000009630136,201000000001653405,44180,customer,merchant,Customer Buy Goods,nonfraud
201000000002803270,201000000001742310,40500,merchant,merchant,Business to Business Transfer,nonfraud
201000000003320408,201000000005351918,17000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002896926,201100000005522160,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000004173896,201100000005522070,53200,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000005667268,201000000001745132,1300,merchant,merchant,Business to Business Transfer,nonfraud
201000000005632622,201100000005522150,2021,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000008263154,201100000005522120,11100,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000001744265,201000000002802691,20500,merchant,merchant,Transaction Reversal,nonfraud
201000000005667268,201100000005522227,13650,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001900555,201000000001743224,50200,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201000000001744166,200,merchant,merchant,Business to Business Transfer,nonfraud
202000000118943990,201000000003224182,12000,customer,merchant,Buy Goods,nonfraud
201000000002024186,201100000005522059,11100,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003027981,201100000005522056,33320,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004509741,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201000000004701181,201000000001745194,23200,merchant,merchant,Business to Business Transfer,nonfraud
201000000005537001,201000000001743308,200,merchant,merchant,Business to Business Transfer,nonfraud
202000000106785063,202000000118009606,200000,customer,customer,P2P Transfer,nonfraud
201000000003778695,201000000001743307,83200,merchant,merchant,Business to Business Transfer,nonfraud
201000000003300901,201100000005522049,15700,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001961405,201100000005522066,5800,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001896745,201100000005522191,50500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000005667268,201100000005522191,19400,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002513676,201000000001227614,50000,merchant,merchant,B2b Transfer Telco,nonfraud
201000000002034092,201100000005522125,50000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001096013,202000000126551039,500000,merchant,customer,Cash In,nonfraud
201000000002799901,201000000001742241,11000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002073017,201100000005522160,9900,merchant,merchant,,nonfraud
201000000002314933,201100000005522111,33500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004365700,201100000005522226,20850,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000108557786,201000000003980440,75000,customer,merchant,Buy Goods,nonfraud
202000000125875077,201000000001281820,25000,customer,merchant,Customer Withdrawal,nonfraud
202000000084442340,201000000001653405,8500,customer,merchant,Customer Buy Goods,nonfraud
201100000009196963,201100000005522094,15030,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000005482221,201000000005352571,1000,merchant,merchant,Business to Business Transfer,nonfraud
202100000006437282,202100000005593452,30000,customer,customer,Customer Withdrawal,nonfraud
201000000004111375,201000000002270458,19875,merchant,merchant,General B2b Transfer,nonfraud
202000000106898382,201000000005104238,10000,customer,merchant,Customer Buy Goods,nonfraud
202000000117984448,201000000004900716,7500,customer,merchant,Buy Goods,nonfraud
202000000034400896,201000000001279963,400000,customer,merchant,Cash Out,nonfraud
201100000005950738,201100000005522225,38730,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201100000005522205,8000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001987645,201100000005522106,50000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001982665,201000000005352571,83199,merchant,merchant,Business to Business Transfer,nonfraud
201000000001792543,201000000004687555,8000,merchant,merchant,Business to Business Transfer,nonfraud
202000000127531893,201000000004673531,210000,customer,merchant,Customer Buy Goods Reservation,nonfraud
201000000004802769,201100000005522173,50350,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002608262,201100000005522205,10300,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002081327,201000000001743324,60000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002326780,201100000005522074,11400,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000004506908,201000000003086080,1000,merchant,merchant,Business to Business Transfer,nonfraud
201000000004825881,201100000005522209,16550,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002040489,201100000005522192,20800,merchant,merchant,Digipos B2b Transfer,nonfraud
202000000123519696,201000000004875740,51500,customer,merchant,Buy Goods,nonfraud
201000000002971453,201100000005522207,28938,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000063808909,201000000004900716,11500,customer,merchant,Customer Reservation Telco For Other,nonfraud
201100000009190792,201100000005522122,17519,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002032114,201100000005522129,33250,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002453027,201100000005522161,45000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001958977,201100000005522153,24210,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001758698,201100000005522181,10400,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202100000006866972,201000000004432358,5550,customer,merchant,Customer Buy Goods,nonfraud
201000000003353318,201100000005522205,10400,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000005937656,201100000005522107,11100,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202100000007278137,201000000005104238,10000,customer,merchant,APPLINK,nonfraud
202000000110493930,201000000003224182,39815,customer,merchant,Buy Goods,nonfraud
201000000001763665,201000000001745126,10695,merchant,merchant,Business to Business Transfer,nonfraud
201000000005582781,201100000005522093,10630,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000006945107,201100000005522101,10200,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000022198640,202000000094786128,20000,customer,customer,P2P Transfer,nonfraud
201000000001967038,201000000001742357,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000002008764,201000000002353025,20500,merchant,merchant,Business to Business Transfer,nonfraud
201000000004509741,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201000000001745163,4845,merchant,merchant,Business to Business Transfer,nonfraud
202000000108557786,202000000127984003,20000,customer,customer,Customer Withdrawal,nonfraud
201000000005697694,201100000005522124,9900,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000067652535,201000000005104238,10000,customer,merchant,Customer Buy Goods,nonfraud
201000000004186255,201100000005522063,5730,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003983036,201100000005522104,15500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002455044,201100000005522116,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000003353318,201100000005522205,10400,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001847392,201100000005522123,28000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000007505244,201100000005522201,33800,merchant,merchant,Doa Digipos B2b Transfer,nonfraud
201000000002872508,201000000001742207,15199,merchant,merchant,Business to Business Transfer,nonfraud
201000000005470479,201000000001743270,5799,merchant,merchant,Business to Business Transfer,nonfraud
201100000005367607,201000000001227614,50000,merchant,merchant,B2b Transfer Telco,nonfraud
201000000002034606,201000000001745185,20600,merchant,merchant,Business to Business Transfer,nonfraud
201000000002074443,201000000001743315,8000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001903757,201100000005522048,68050,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000004506908,201100000005522053,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000005575497,201100000005522192,53300,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001762316,201000000005351918,25199,merchant,merchant,Business to Business Transfer,nonfraud
201000000005651234,201100000005522121,28000,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000002342123,201000000001743324,17500,merchant,merchant,Business to Business Transfer,nonfraud
201000000004506908,201000000003086080,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201000000001744166,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000001950447,201100000005522162,104000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001096013,202000000111385275,100000,merchant,customer,Cash In,nonfraud
201000000004384668,201100000005522073,85200,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000005752737,201100000005522203,11600,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000001842287,201000000002349989,240000,customer,merchant,Customer Buy Goods,nonfraud
201000000001965155,201000000001742215,50000,merchant,merchant,Business to Business Transfer,nonfraud
202100000006885887,201000000005104238,10000,customer,merchant,Customer Buy Goods,nonfraud
202000000048381820,201000000001279963,300000,customer,merchant,Cash Out,nonfraud
201000000005634840,201100000005522096,33499,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000004506908,201100000005522105,2600,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002946834,201100000005522095,5500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003225376,201100000005522070,10900,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000004111375,201000000002270458,10180,merchant,merchant,General B2b Transfer,nonfraud
201000000001972582,201000000001745129,10500,merchant,merchant,Business to Business Transfer,nonfraud
202000000082065422,201000000001845551,64372,customer,merchant,Customer Buy Goods,nonfraud
201000000005632622,201100000005522150,2021,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001950447,201100000005522162,5999,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000002029080,201000000001743266,9000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001997580,201000000005352571,80199,merchant,merchant,Business to Business Transfer,nonfraud
201000000005463594,201000000002353024,40899,merchant,merchant,Business to Business Transfer,nonfraud
201000000001769855,201000000001743330,22500,merchant,merchant,Business to Business Transfer,nonfraud
201000000005645853,201100000005522129,2250,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000005697176,201100000005522055,12000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002048167,201000000001744265,24200,merchant,merchant,Business to Business Transfer,nonfraud
201000000002048167,201100000005522046,33400,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002326780,201000000002350879,1500,merchant,merchant,Business to Business Transfer,nonfraud
201000000001792067,201100000005522133,14550,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000002559425,201100000005950576,70000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002077531,201100000005522162,45499,merchant,merchant,Doa Digipos B2b Transfer Incluster,nonfraud
201000000002816707,201000000001744208,11500,merchant,merchant,Business to Business Transfer,nonfraud
201000000001968721,201000000005351918,8000,merchant,merchant,Business to Business Transfer,nonfraud
201000000005501262,201000000001745120,10700,merchant,merchant,Business to Business Transfer,nonfraud
201000000002048167,201000000005564865,5600,merchant,merchant,Business to Business Transfer,nonfraud
201000000002319157,201100000005522081,11100,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001949191,201000000001744270,50000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002072951,201000000005352571,20299,merchant,merchant,Business to Business Transfer,nonfraud
201100000006945107,201100000005522101,7500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001858596,201100000005522179,20100,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002342123,201100000005522127,15597,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201100000005522205,8000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004111375,201000000002270458,64415,merchant,merchant,General B2b Transfer,nonfraud
202000000118233577,201000000001625727,100000,customer,merchant,Buy Goods,nonfraud
201000000002372065,201000000001743270,22499,merchant,merchant,Business to Business Transfer,nonfraud
202000000054478443,201000000001215461,100000,customer,merchant,Buy Goods,nonfraud
201100000007505244,201100000005522125,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201100000007733674,201100000005522119,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000001785533,201000000001742211,10600,merchant,merchant,Business to Business Transfer,nonfraud
201000000002048167,201100000005522046,15620,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003134076,201100000005522169,20999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000004509741,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201100000007733674,201100000005522087,12399,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001953683,201100000005522130,10799,merchant,merchant,Doa Digipos B2b Transfer,nonfraud
201000000004547059,201000000001745197,1100,merchant,merchant,Business to Business Transfer,nonfraud
201000000002455044,201100000005522116,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000002505091,201100000005522056,5020,merchant,merchant,Digipos B2b Transfer,nonfraud
202100000009501722,201000000005511832,20000,customer,merchant,Customer Pay Transportation,nonfraud
201000000002001943,201000000001742353,10799,merchant,merchant,Business to Business Transfer,nonfraud
201000000001775171,201100000005522116,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000004509741,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201000000001986352,201000000002350879,10500,merchant,merchant,Business to Business Transfer,nonfraud
201100000007505244,201100000005522144,23150,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001895317,201000000001743315,15500,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201100000005522205,10400,merchant,merchant,,nonfraud
201000000002073245,201000000001742243,68500,merchant,merchant,Business to Business Transfer,nonfraud
201000000003353318,201000000001742241,9891,merchant,merchant,Business to Business Transfer,nonfraud
202000000106750077,201000000005104238,10000,customer,merchant,Customer Buy Goods,nonfraud
201000000003192934,201100000005522165,5999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003313657,201000000001743232,11350,merchant,merchant,Business to Business Transfer,nonfraud
201000000005490310,201000000002350879,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000005418636,201000000001742302,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000002369006,201000000005353572,5499,merchant,merchant,Business to Business Transfer,nonfraud
201000000002744081,201100000005522196,78050,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002032873,201100000005522123,70000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000007442211,201000000001208040,29750,merchant,merchant,B2b Transfer Telco,nonfraud
201000000001986352,201100000005522074,99500,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201000000001745122,9891,merchant,merchant,Business to Business Transfer,nonfraud
201000000002712381,201000000003082450,105000,merchant,merchant,Business to Business Transfer,nonfraud
201000000001866023,201000000001744275,200,merchant,merchant,Business to Business Transfer,nonfraud
201000000002864997,201100000005522104,55000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002039749,201100000005522127,10598,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201100000005522205,8000,merchant,merchant,,nonfraud
201000000001775390,201100000005522078,20000,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000004590214,201000000001742211,10600,merchant,merchant,Business to Business Transfer,nonfraud
202000000091719581,201000000001215461,50000,customer,merchant,Buy Goods,nonfraud
201000000002034606,201000000001745185,10700,merchant,merchant,Business to Business Transfer,nonfraud
